Predator class,Predator order,Predator family,Prey class,Prey order,Prey family,region,reference,as cited in
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Nectariniidae,Africa,(Mann And Cheke 2010),(Brooks 2012)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Passeridae,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Columbiformes,Columbidae,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Columbiformes,Columbidae,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Monarchidae,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Regulidae,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Apodiformes,Trochilidae,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,United States,(Mccook 1889),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Hirundinidae,Australia,(Mckeown 1943),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Rhipiduridae,Australia,(Mckeown 1943),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Australia,(Mckeown 1943),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Zosteropidae,Australia,(Mckeown 1943),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Acanthizidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Acanthizidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Maluridae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Maluridae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Maluridae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Meliphagidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Meliphagidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Petroicidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Sturnidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Unknown,Unknown,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Vespertilionidae,Australia,(Mckeown And Roberts 1952),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Australia,(Mckeown And Roberts 1952),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Australia,(Mckeown And Roberts 1952),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Dactyloidae,United States,(Mitchell And Ruckdeschel 2013),
Arachnida,Araneae,Araneidae,Amphibia,Anura,Hylidae,Brazil,(Muscat Et Al. 2014),
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Emballonuridae,Belize,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Emballonuridae,Costa Rica,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Emballonuridae,Costa Rica,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Emballonuridae,Panama,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Emballonuridae,Peru,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Hipposideridae,Australia,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Hipposideridae,Hong Kong,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Phyllostimidae,Costa Rica,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Rhinolophidae,Japan,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Belize,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Costa Rica,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Hong Kong,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Colombia,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,Colombia,(Nyffeler And KnîRnschild 2013),(Nyffeler And KnîRnschild 2013)
